chunk,article,law
"Krivični zakonik | Posebni uslovi za krivično gonjenje za krivično delo učinjeno u inostranstvu | U slučaju iz člana 8. i člana 9. stav 1. ovog zakonika krivično gonjenje se može preduzeti samo ako se za krivično delo kažnjava i po zakonu zemlje u kojoj je ono učinjeno, osim kada postoji odobrenje republičkog javnog tužioca ili kada je to predviđeno potvrđenim međunarodnim ugovorom. ",Član 10  ,Krivični zakonik
"Krivični zakonik | Posebni uslovi za krivično gonjenje za krivično delo učinjeno u inostranstvu | U slučaju iz člana 9. stav 2. ovog zako nika, ako je u pitanju delo koje je u vreme kad je izvršeno smatrano krivičnim delom prema opštim pravnim načelima priznatim u međunarodnom pravu, gonjenje se može preduzeti u Srbiji po odobrenju republičkog javnog tužioca, bez obzira na zakon zemlje u koj oj je krivično delo učinjeno. ",Član 10  ,Krivični zakonik
"Krivični zakonik | Uračunavanje pritvora i kazne izdržane u inostranstvu | Pritvor, svako drugo lišenje slobode u vezi sa krivičnim delom, lišenje slobode u toku postupka izručenja, kao i kazna koju j e učinilac izdržao po presudi inostr anog ili međunarodnog krivičnog suda uračunaće se u kaznu koju izrekne domaći sud za isto krivično delo, a ako kazne nisu iste vrste, uračunavanje će se izvršiti po oceni suda. ",Član 11  ,Krivični zakonik
"Krivični zakonik | Odgovornost pravnih lica za krivična dela | Odgovornost pravnih lica z a krivična dela, kao i sankcije pravnih lica za krivična dela uređuju se posebnim zakonom. ",Član 12  ,Krivični zakonik
Krivični zakonik | Važenje opšteg dela ovog zakonika | Odredbe opšteg dela ovog zakonika važe za sva krivična dela određena ovim zakonikom ili drugim zakonom. 1. Opšte odredbe o krivičnom delu ,Član 13  ,Krivični zakonik
"Krivični zakonik | Krivično delo | (1) Krivično delo je ono delo koje je zakonom predviđeno kao krivično delo, koje je protivpravno i koje je skrivljeno. (2) Nema krivičnog dela ukoliko je isključena protivpravnost ili krivica, iako postoje sva obeležja krivičnog dela određena zakonom. ",Član 14  ,Krivični zakonik
"Krivični zakonik | Izvršenje krivičnog dela nečinjenjem | (1) Krivično del o je učinjeno nečinjenjem kad zakon propuštanje da se preduzme određeno činjenje predviđa kao krivično delo. (2) Nečinjenjem može biti učinjeno i krivično delo koje je zakonom određeno kao činjenje, ako je učinilac propuštanjem dužnog činjenja ostvario ob eležja tog krivičnog dela. ",Član 15  ,Krivični zakonik
"Krivični zakonik | Vreme izvršenja krivičnog dela | (1) Krivično delo je izvršeno u vreme kad je izvršilac radio ili bio dužan da radi, bez obzira kad je posledica dela nastupil a. (2) Saučesnik je krivično delo učinio u vreme kad je radio ili bio dužan da radi. ",Član 16  ,Krivični zakonik
"Krivični zakonik | Mesto izvršenja krivičnog dela | (1) Krivično delo je izvršeno kako u mestu gde je izvršilac radio ili bio dužan da radi, tako i u mestu gde je u celini ili d elimično nastupila posledica dela. (2) Pokušaj krivičnog dela sm atra se izvršenim kako u mestu gde je učinilac radio, tako i u mestu gde je posledica po njegovom umišljaju trebalo da nastupi ili je mogla da nastupi. (3) Saučesnik je krivično delo učinio i u mestu u kojem je preduzeo radnju saučesništva. ",Član 17,Krivični zakonik
"Krivični zakonik | Delo malog zn ačaja | (1) Nije krivično delo ono delo koje, iako sadrži obeležja krivičnog dela, predstavlja delo malog značaja. (2) Delo je malog značaja ako stepen krivice nije visok, ako su štetne posledice odsutne ili neznatne i ako opšta svrha krivičnih sa nkcija ne zahteva izricanje krivične sankcije. (3) Odredbe st. 1. i 2. ovog člana mogu se primeniti na krivična dela za koja je propisana kazna zatvora do tri godine ili novčana kazna. ",Član 18  ,Krivični zakonik
Krivični zakonik | Nužna odbrana | (1) Nije krivično delo ono delo koje je učinjeno u nužnoj odbrani. (2) Nužna je ona odbrana koja je neophodno potrebna da učinilac od svog dobra ili dobra drugoga odbije istovremen protivpravan napad. (3) Učiniocu koji je prekoračio granice nužne odbrane može se kazna ublažiti. Ako je učinilac prekoračio granice nužne odbrane usled jake razdraženosti ili prepasti izazvane napadom može se i osloboditi od kazne. ,Član 19  ,Krivični zakonik
"Krivični zakonik | Krajnja nužda | (1) Nije krivično delo ono delo koje je učinjeno u krajnjoj nuždi. (2) Krajnja nužda postoji kad je delo učinjeno radi toga da učinilac otkloni od svog dobra ili dobra drugoga istovremenu neskrivljenu opasnost koja se na drugi način nije mogla otkloniti, a pri tom učinjeno zlo nije veće od zla koje je pretilo. (3) Učiniocu koji je sam izazvao opasnost, ali iz nehata ili je prekoračio granice krajnje nužde, može se kazna ublažiti. Ako je učinilac prekoračio granice krajnje nužde pod naročito olakšavajućim okolnostima može se i osloboditi od kazne. (4) Nema krajnje nužde ako je učinilac bio dužan da se izlaže opasnosti koja je pretila. ",Član 20  ,Krivični zakonik
"Krivični zakonik | Sila i pretnja | (1) Nije krivično delo ono delo koje je učinjeno pod dejstvom neodoljive sile. (2) Ako je krivično delo učinjeno pod dejstvom sile koja nije neodoljiva ili pretnje, uč iniocu se kazna može ublažiti. (3) U slučaju iz stava 1. ovog člana kao izvršilac krivičnog dela smatraće se lice koje je primenilo neodoljivu silu. ",Član 21  ,Krivični zakonik
"Krivični zakonik | Krivica | (1) Krivica postoji ako je učinilac u vreme kada je učinio krivično delo bio uračunljiv i postupao sa umišljajem, a bio je svestan ili je bio dužan i mogao biti svestan da je njegovo delo zabranjeno. (2) Krivično delo je učinjeno sa krivicom i ako je učinilac postupao iz nehata, ukoliko zakon to izričito predviđa. ",Član 22  ,Krivični zakonik
"Krivični zakonik | Neuračunljivost | (1) Nije krivično delo ono delo koje je učinjeno u stanju neuračunljivosti. (2) Neuračunljiv je onaj učinilac koji nije mogao da shvati značaj svog dela ili nije mogao da upravlja svojim postupcima usl ed duševne bolesti, privremene duševne poremećenosti, zaostalog duševnog razvoja ili druge teže duševne poremećenosti. (3) Učiniocu krivičnog dela čija je sposobnost da shvati značaj svog dela ili sposobnost da upravlja svojim postupcima bila bitno smanjena usled nekog stanja iz stava 2. ovog člana (bitno s manjena uračunljivost) može se ublažiti kazna. ",Član 23  ,Krivični zakonik
"Krivični zakonik | Skrivljena neuračunljivost | (1) Krivica učinioca krivičnog dela koji se upotrebom alkohola, droga ili na drugi način doveo u stanje u kojem nije mogao da shvati značaj svog dela ili da upravlja svoji m postupcima utvrđuje se prema vremenu neposredno pre dovođenja u takvo stanje. (2) Učiniocu koji je pod okolnostima iz stava 1. ovog člana učinio krivično delo u stanju bitno smanjene uračunljivosti ne mo že se po tom osnovu ublažiti kazna. ",Član 24  ,Krivični zakonik
Krivični zakonik | Umišljaj | Krivično delo je učinjeno sa umišljajem kad je učinilac bio svestan svog dela i hteo njegovo izvršenje ili kad je učinilac bi o svestan da može učiniti delo pa je na to pristao. ,Član 25  ,Krivični zakonik
"Krivični zakonik | Nehat | Krivično delo je učinjeno iz nehata kad je učinilac bio svestan da svojom radnjom može učiniti delo, ali je olako držao da do toga neće doći ili da će to moći sprečiti ili kad nije bio svestan da svojom radnjom može učiniti delo iako je prema okolnostima pod kojima je ono učinjeno i prema svojim li čnim svojstvima bio dužan i mogao biti svestan te mogućnosti. ",Član 26  ,Krivični zakonik
"Krivični zakonik | Odgovornost za težu posledicu | Kad je iz krivičnog dela proizašla teža posledica zbog koje zakon za to delo propisuje težu kaznu, ta se kazna može izreći ako je učinilac u odnosu na tu posledicu postupao iz nehata, a i sa umišljajem ako time nisu ostvarena obeležja nekog drugog krivičnog dela. ",Član 27  ,Krivični zakonik
"Krivični zakonik | Stvarna zabluda | (1) Nije krivično delo ono delo koje je učinjeno u neotklonjivoj stvarnoj zabludi. (2) Stvarna zabluda je neotklonjiv a ako učinilac nije bio dužan i nije mogao da izbegne zabludu u pogledu neke stvarne okolnosti koja predstavlja obeležje krivičnog dela ili u pogledu neke stvarne okolnosti koja bi, da je zaista postojala, čini la delo dozvoljenim. (3) Ako je učinilac bio u stvarnoj zabludi usled nehata, postojaće krivično delo učinjeno iz nehata kad zakon takvo krivično delo predviđa. ",Član 28  ,Krivični zakonik
"Krivični zakonik | Pravna zabluda | (1) Nije krivično delo ono delo koje je učinjeno u neotklonjivoj pravnoj zabludi. (2) Pravna zabluda je neotklonj iva ako učinilac nije bio dužan i nije mogao da zna da je njegovo delo zabranjeno. (3) Učiniocu koji nije znao da je delo zabranjeno, ali je to bio dužan i mogao da zna, kazna se može ublažiti. 2. Pokušaj krivičnog dela ",Član 29  ,Krivični zakonik
"Krivični zakonik | Pokušaj | (1) Ko sa umišl jajem započne izvršenje krivičnog dela, ali ga ne dovrši, kazniće se za pokušaj krivičnog dela za koje se po zakonu može izreći kazna zatvora od pet godina ili teža kazna, a za pokušaj drugog krivičnog dela samo kad zakon izričito propisuje kažnjavanje i z a pokušaj. (2) Učinilac će se za pokušaj kazniti kaznom propisanom za krivično delo, ili ublaženom kaznom",Član 30  ,Krivični zakonik
Krivični zakonik | Nepodoban pokušaj | Učinilac koji pokuša da izvrši krivično delo nepodobnim sredstvom ili prema nepodobnom predmetu može se osloboditi od kazne. ,Član 31  ,Krivični zakonik
"Krivični zakonik | Dobrovoljni odustanak | (1) Izvršilac koji je pokušao izvršenje krivičnog dela ali je dobrovoljno odustao od daljeg preduzimanja radnje izvršenja ili je sprečio nastupanje posledice, može se osloboditi od kazne. (2) Odredba stava 1. ovog člana neće se primeniti ukoliko učinilac krivično delo nije dovršio zbog okolnosti koje onemogućavaju ili znatno otežavaju izvršenje krivičnog dela, ili zbog toga što je smatrao da takve okolnosti postoje. (3) Osloboditi se od kazne može i saizvršilac, podstrekač ili pomagač koji je dobrovoljno sprečio izvršenje krivičnog dela. (4) Ako je u slučaju iz st. 1. i 3. učinilac dovršio neko drugo samostalno krivično delo koje nije obuhvaćeno krivičnim delom od čijeg izvršenja je odustao, učinilac se ne može osloboditi od kazne za to drugo delo po isto m osnovu. 3. Saučesništvo u krivičnom delu ",Član 32  ,Krivični zakonik
"Krivični zakonik | Saizvršilaštvo | Ako više lica učestvovanjem u radnji izvršenja sa umišljajem ili iz nehata zajednički izvrše krivično delo, ili ostvarujući zajedničku odluku drugom radnjom sa umišljajem bitno doprinesu izvršenju krivičnog dela, svako od njih kazniće se kaznom propisanom za to delo. ",Član 33  ,Krivični zakonik
"Krivični zakonik | Podstrekavanje | (1) Ko drugog sa umišljajem podstrekne da izvrši krivično delo, kazniće se kaznom propisanom za to krivično delo. (2) Ko drugog sa umišljajem podst rekava na izvršenje krivičnog dela čiji pokušaj je po zakonu kažnjiv, a delo ne bude ni pokušano, kazniće se kao za pokušaj krivičnog dela. ",Član 34  ,Krivični zakonik
"Krivični zakonik | Pomaganje | (1) Ko drugom sa umišljajem pomogne u izvršenju krivičnog dela, kazniće se kaznom propisanom za to krivično delo, ili ublaženom kaznom. (2) Kao pomaganje u izvršenju krivičnog dela smatra se naročito: davanje saveta ili uputstava kako da se izvrši krivično delo , stavljanje učiniocu na raspolaganje sredstava za izvršenje krivičnog dela, stvaranje us lova ili otklanjanje prepreka za izvršenje krivičnog dela, kao i unapred obećano prikrivanje krivičnog dela, učinioca, sredstava kojima je krivično delo izvršeno, tragova krivičnog dela ili predmeta pribavljenih krivičnim delom. ",Član 35  ,Krivični zakonik
"Krivični zakonik | Granice odgovornosti i kaž njivosti saučesnika | (1) Saizvršilac je odgovoran za izvršeno krivično delo u granicama svog umišljaja ili nehata, a podstrekač i pomagač u granicama svog umišljaja. (2) Osnovi koji isključuju krivicu izvršioca (čl. 23, 28. i 29. ovog zakonika) n e isključuju krivično delo saizvršioca, podstrekača, ili pomagača kod kojeg krivica postoji. (3) Lični odnosi, svojstva i okolnosti usled kojih zakon dozvoljava oslobođenje od kazne, ili koje utiču na odmeravanje kazne , mogu se uzeti u obzir samo onom izv ršiocu, saizvršiocu, podstrekaču ili pomagaču kod kojeg takvi odnosi, svojstva i okolnosti postoje. (4) Lični odnosi, svojstva i okolnosti koji predstavljaju bitno obeležje krivičnog dela ne moraju postojati kod podstrekača i li pomagača. Podstrekaču ili p omagaču koji nema takvo lično svojstvo, kazna se može ublažiti. 4",Član 36  ,Krivični zakonik
"Krivični zakonik | Kažnjavanje podstrekača i pomagača za pokušaj Pokušaj i lakše krivično delo | (1) Ako je krivično delo ostalo u pokušaju podstrekač i pomagač će se kazniti za pokušaj. (2) Ako je izvršilac izvršio lakše krivično delo od onog na koje se podstrekavanje ili pomaganje odnosi, a koje bi bilo njime obuhvaćeno, podstrekač i pomagač će se kazniti za krivično delo koje je učinjeno. (3) Odredba stava 2. ovog člana neće se primeniti ako bi se podstrekač strože kaznio primenom člana 34. stav 2. ovog zakonika. 5. Posebne odredbe o krivičnim delima učinjenim putem štampe ili drugih sredstava javnog informisanja ",Član 37  ,Krivični zakonik
"Krivični zakonik | Odgovornost urednika | (1) Izvršiocem krivičnog dela izvršenog objavljivanjem informacije u novinama, na radiju, televiziji ili drugom javnom glasil u smatra se autor informacije. (2) Izuzetno od odredbe stava 1. ovog člana izvršiocem krivičnog dela učinjenog putem novina, radija, televizije ili drugog javnog glasila smatraće se odgovorni urednik, odnosno lice koje ga je zamenjivalo u vreme objavljivanja informacije: 1) ako je do završetka glavnog pretresa pred prvostepenim sudom autor ostao nepoznat; 2) ako je informacij a objavljena bez saglasnosti autora; 3) ako su u vreme objavljivanja informacije postojale stvarne ili pravne smetnje za gonjenje autora, koje i dalje traju. (3) Isključena je krivica odgovornog urednika, odnosno lica koje ga zamenjuje ukoliko je bio u n eotklonjivoj zabludi u pogledu neke od okolnosti navedenih u stavu 2. tač. 1. do 3. ovog člana. ",Član 38  ,Krivični zakonik
"Krivični zakonik | Odgovornost izdavača, štampara i proizvođača | (1) Kad postoje uslovi iz člana 38. ovog zakonika izvršiocem se smatraju: 1) izdavač - za krivično delo izvršeno putem nepovremene štampane publikacije, a ako nema izdavača ili postoje stvarne ili pravne smetnje za njegovo gonjenje - štampar koji je za to znao; 2) proizvođač - za krivično delo izvršeno putem kompakt diska, gramofonske ploče, magnetofonske trake i drugih auditivnih sredstava, filma za javno i privatno prikazivanje, dijapozitiva, video -sredstava ili sličnih sredstava namenjenih širem krugu lica. (2) Ako je izdavač, štampar ili proizvođač pravno lice ili državni organ, izvršilac je lice koje odgovara za izdavanje, štampanje ili proizvodnju. Primenjivanje odredaba čl. 38. i 39",Član 39  ,Krivični zakonik
Krivični zakonik | | Odredbe čl. 38. i 39. ovog zakonika primenjuju se samo ako se ta lica po opštim odredbama ovog zakonika ne mogu smatrati učiniocem krivičnog dela. ,Član 40  ,Krivični zakonik
"Krivični zakonik | Zaštita iz vora informacija | Lica iz čl. 38. i 39. ovog zakonika neće se smatrati izvršiocem krivičnog dela zbog toga što sudu ili drugom nadležnom organu nisu otkrila identitet autora informacije ili izvor informacije, osim u slučaju da je učinjeno krivično delo za koje je kao najmanja mera kazne propisan zatvor u trajanju od pet ili više godina, ili je to neophodno da bi se izvršenje takvog krivično g dela sprečilo. 1",Član 41  ,Krivični zakonik
"Krivični zakonik | Svrha kažnjavanja, vrste kazni i uslovi za njihovo izricanje Svrha kažnjavanja | U okviru opšte svrhe krivičnih sankcija (član 4. stav 2), svrha kažnjavanja je: 1) sprečavanje učinioca da čini krivična dela i uticanje na njega da ubuduće ne čini krivična dela; 2) uticanje na druge da ne čine krivična dela; 3) izražavanje društvene osude za krivično delo, jačanje morala i učvršćivanje obaveze poštovanja zakona; 4) ostvarivanje pravednosti i srazmernosti između učinjenog dela i težine krivične sankcije. ",Član 42  ,Krivični zakonik
Krivični zakonik | Vrste kazni | Učiniocu krivičnog dela mogu se izreći sledeće kazne: 1) doživotni zatvor; 2) kazna zatvora; 3) novčana kazna; 4) rad u javnom interesu; 5) oduzimanje vozačke dozvole. ,Član 43  ,Krivični zakonik
"Krivični zakonik | Glavne i sporedne kazne | (1) Doživotni zatvor i kazna zatvora mogu se izreći samo kao glavne kazne. (2) Novčana kazna, rad u javnom interesu i oduzimanje vozačke dozvole mogu se izreći i ka o glavna i kao sporedna kazna. (3) Ako je za jedno krivično delo propisano više kazni, samo se jedna može izreći kao glavna kazna. ",Član 44  ,Krivični zakonik
Krivični zakonik | Doživotni zatvor | (1) Za najteža krivična dela i najteže oblike teških krivičnih dela može se uz kaznu zatvora izuz etno propisati i kazna doživotnog zatvora. (2) Doživotni zatvor ne može se izreći licu koje u vreme izvršenja krivičnog dela nije navršilo dvadeset jednu godinu života. (3) Doživotni zatvor se ne može izreći u slučajevima kada zakon predviđa da se kazna može ublažiti (član 56. stav 1. tačka 1) ili kada postoji neki od osnova za oslobođenje od kazne. ,Član 44a  ,Krivični zakonik
Krivični zakonik | Kazna zatvora | Kazna zatvora ne može biti kraća od trideset dana niti duža od dvadeset godina. ,Član 45  ,Krivični zakonik
"Krivični zakonik | Kazna zatvora | Kazna zatvora iz stava 1. ovog člana izriče s e na pune godine i mesece, a do šest meseci i na dane. ",Član 45  ,Krivični zakonik
"Krivični zakonik | Kazna zatvora | Ako učiniocu krivičnog dela izrekne kaznu zatvora do jedne godine, sud može istovremeno odrediti da će se ona izvršiti tako što će je osuđeni izdržavati u prostorijama u kojima stanuje ukoliko se s obzirom na ličnost učinioca, njegov raniji živ ot, njegovo držanje posle učinjenog dela, stepen krivice i druge okolnosti pod kojima je delo učinio može očekivati da će se i na taj način ostvariti svrha kažnjavanja. ",Član 45  ,Krivični zakonik
"Krivični zakonik | Kazna zatvora | Osuđeni kojem je određeno izvršenje kazne zatvora na način predviđen u stavu 3. ovog člana ne sme napuštati prostorije u kojima stanuje, osim u slučajevima propisanim zakonom koji uređuje izvršenje krivičnih sankcija. Ukoliko osuđeni jednom u trajanju preko šest časova ili dva puta u trajanju do šest časova samovoljno napusti prostorije u kojim a stanuje, sud će odrediti da ostatak kazne zatvora izdrži u zavodu za izvršenje kazne zatvora. ",Član 45  ,Krivični zakonik
Krivični zakonik | Kazna zatvora | Osuđenom za krivično delo protiv braka i porodice koji živi sa oštećenim u istom porodičnom domaćinstvu ne može se odrediti izvršenje kazne zatvora na nači n propisan u stavu 3. ovog člana. ,Član 45  ,Krivični zakonik
"Krivični zakonik | Uslovni otpust | Osuđenog koji je izdržao dve trećine kazne zatvora sud će uslovno otpustiti sa izdržavanja kazne, ako se u toku izdržavanja kazne tako popravio da se može sa osnovom očekivati da će se na slob odi dobro vladati, a naročito da do isteka vremena za koje je izrečena kazna ne učini novo krivično delo. Pri oceni da li će se osuđeni uslovno otpustiti uzeće se u obz ir njegovo vladanje za vreme izdržavanja kazne, izvršavanje radnih obaveza, s obzirom na njegovu radnu sposobnost, kao i druge okolnosti koje ukazuju da osuđeni dok traje uslovni otpust neće izvršiti novo krivično delo. Ne može se uslovno otpusti ti osuđeni koji je tokom izdržavanja kazne dva puta kažnjavan za teže disciplinske prestupe i kome su oduzete dodeljene pogodnosti. ",Član 46,Krivični zakonik
"Krivični zakonik | Uslovni otpust | Ukoliko ispunjava uslove iz stava 1. ovog člana, sud može uslovno otpustiti osuđenog - koji je osuđen na kaznu doživotnog zatvora, ako je izdržao dvadeset sedam godina",Član 46,Krivični zakonik
"Krivični zakonik | Uslovni otpust | Ukoliko ispunjava uslove iz stava 1. ovog člana, sud može uslovno otpustiti osuđenog - koji je osuđen za krivična dela protiv čoveč nosti i drugih dobara zaštićenih međunarodnim pravom (čl. 370. do 393a), krivična dela protiv polne slobode (čl. 178. do 185b), krivično delo nasilje u porodici (član 194. st. 2. do 4), krivično del o neovlašćena proizvodnja i stavljanje u promet opojnih dr oga (član 246. stav 5), krivična dela protiv ustavnog uređenja i bezbednosti Republike Srbije (čl. 305. do 321), krivično delo primanje mita (član 367) i krivično delo davanje mita (član 368 )",Član 46,Krivični zakonik
"Krivični zakonik | Uslovni otpust | Ukoliko ispunjava uslove iz stava 1. ovog člana, sud može uslovno otpustiti osuđenog - koji je osuđen od strane posebnih odeljenja nadležnih sudova , u postupcima vođenim u skladu sa nadležnošću određenom zakonom koji uređuje organizaciju i nadležnost državnih organa u suzbijanju organizovanog kriminala, korupcije i terorizma",Član 46,Krivični zakonik
"Krivični zakonik | Uslovni otpust | Ukoliko ispunjava uslove iz stava 1. ovog člana, sud može uslovno otpustiti osuđenog - koji je više od tri puta pravnosnažno osuđen na kaznu zatvora, a nije izv ršeno brisanje ili ne postoje uslovi za brisanje neke od osuda.",Član 46,Krivični zakonik
"Krivični zakonik | Uslovni otpust | Sud može u odluci o uslovnom otpustu odrediti da je osuđeni dužan da ispuni neku od obaveza iz člana 73. ovog zakonika, kao i neku drugu obavezu predviđenu krivičnopravnim odredbama. ",Član 46,Krivični zakonik
"Krivični zakonik | Uslovni otpust | U slučaju iz st. 1. i 2. ovog člana, ako uslovni otpust ne bude opozvan, smatra se da je osuđeni izdržao kaznu. ",Član 46,Krivični zakonik
"Krivični zakonik | Uslovni otpust | Sud ne može uslovno otpustiti osuđenog za krivična dela: teško ubistvo (član 114. stav 1. tačka 9), silovanje (član 178. stav 4), obljuba nad nemoćnim licem (179. stav 3), obljuba sa detetom (član 180. stav 3) i obljuba zloupotrebom položaja (član 181. stav 5). ",Član 46,Krivični zakonik
"Krivični zakonik | Opozivanje uslovnog otpusta | Sud će opozvati uslovni otpust ako osuđeni, dok je na uslovnom otpustu, učini jedno ili vi še krivičnih dela za koja je izrečena kazna zatvora preko jedne godine. ",Član 47  ,Krivični zakonik
"Krivični zakonik | Opozivanje uslovnog otpusta | Sud može opozvati uslovni otpust, ako uslovno otpušteni učini jedno ili više krivičnih dela za koja je izrečena kazna zatvora do jedne godine, odnosno ne ispuni neku od obaveza ko je mu je sud odredio u skladu sa članom 46. stav 3. ovog zakonika. Pri oceni da li će opozvati uslovni otpust sud će naročito uzeti u obzir srodnost učinjenih krivičnih dela, pobude iz kojih su učinjena i druge okolnosti koje ukazuju na opravdanost opoziva nja uslovnog otpusta. ",Član 47  ,Krivični zakonik
Krivični zakonik | Opozivanje uslovnog otpusta | Odredbe st. 1. i 2. ovog člana primenjivaće se i kad se uslovno otpuštenom sudi za krivično delo koje je učinio pre nego što je uslovno otpušten. ,Član 47  ,Krivični zakonik
"Krivični zakonik | Opozivanje uslovnog otpusta | Kad sud opozove uslovni otpust izreći će kaznu primenom odredaba čl. 60. i 62. stav 2. ovog zakonika, uzimajući ranije izrečenu kaznu kao već utvrđenu. Deo kazne koji je osuđeni izdržao po ranijoj osudi uračunava se u novu kaznu, a vreme provedeno na uslovnom otpustu ne uračunava se. ",Član 47  ,Krivični zakonik
"Krivični zakonik | Opozivanje uslovnog otpusta | Ako uslovno otpušteni bude osuđen na kaznu z atvora do jedne godine, a sud ne opozove uslovni otpust, produžava se uslovni otpust za vreme koje je osuđeni proveo na izdržavanju te kazne zatvora. ",Član 47  ,Krivični zakonik
